Question ID,Topic,Question Type,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Study Notes
Q19,CI/CD,Practice Question,Medium,"A DevOps Engineer is configuring a non-production deployment pipeline. Code quality is checked in the build pipeline. A security check is configured in the deployment pipeline to identify major security issues before production deployment. Which other check should be executed before deployment to production?","An OSGi configuration validity check for the new release","A performance check for the actual release functionality","A dispatcher invalidation rule check for replication functionality","A sling models validation check for the new release","B","Performance testing validates actual runtime behavior, catches performance regressions, identifies resource issues, and tests real-world scenarios. This is essential before production deployment as it ensures the system can handle expected load and performance requirements.","Pipeline best practice: Performance testing before production"
Q20,Configuration,Practice Question,Medium,"According to Adobe best practices, how should a DevOps Engineer tailor OSGi service configurations depending on the type of environment?","Leverage multiple content packages for each environment","Leverage configuration files in runmode dedicated folder","Provide default configuration in the content package, and apply the differences using the OSGi console","Use environment variables to identify the instance and environment type, then load the appropriate configuration files accordingly","B","Runmode folders provide environment-specific configurations with clear separation, use the standard AEM mechanism, and enable automated deployment. This is the recommended approach for managing different configurations across environments.","Best practice: Use runmode folders for environment-specific OSGi configs"
Q21,Performance,Practice Question,Medium,"A production AEM instance shuts down randomly. Which JVM parameter should the DevOps engineer implement to make sure the correct debugging info is collected?","Use -agentlibjdwp JVM parameter","Use -XX:MaxMetaspaceSize JVM parameter","Use -XX:+HeapDumpOnOutOfMemoryError JVM parameter","Use -XX:+PrintGCDetails JVM parameter","C","The -XX:+HeapDumpOnOutOfMemoryError parameter creates a heap dump when OutOfMemoryError occurs, captures memory state when crash occurs, helps diagnose random shutdowns, and preserves debugging information for post-mortem analysis.","JVM debugging: -XX:+HeapDumpOnOutOfMemoryError for crash analysis"
Q22,Performance,Practice Question,Easy,"A DevOps engineer needs to analyze response performance from AEM. Log files can be extracted from the AEM environment. Which logfile should be analyzed?","request.log","access.log","response.log","replication.log","A","The request.log captures details of each request made to AEM, records response times to help diagnose slow responses, and provides insight into processing delays, request load, and bottlenecks. This makes it the most relevant log file for analyzing response performance.","Performance analysis: request.log for response time analysis"
Q23,Dispatcher,Practice Question,Medium,"Which HTTP header should be used to flush a particular resource such as JSON data without invalidating the other parts of cache?","CQ-Handle: ResourceOnly","CQ-Action: Resource","CQ-Action-Scope: ResourceOnly","CQ-Action-Scope: Resource","C","The CQ-Action-Scope: ResourceOnly header replicates only the specific resource without including children or subnodes. This provides more targeted replication and is commonly used for single page or asset activation without affecting other cached content.","Dispatcher header: CQ-Action-Scope: ResourceOnly for targeted cache invalidation"
Q24,Deployment,Practice Question,Medium,"A DevOps Engineer has cloned an environment, and configurations must be adjusted for the environment to function correctly. Due to the cloning, the domain and IPs changed during the process. Specifically for content activation, which two parts of the configurations must be altered? (Choose two.)","The transport URI of the dispatcher configuration","The transport URI of the replication agents","The user of the flush agents","The user of the static content agent","The transport URI of the flush agents","B and E","After cloning, the replication agent URI must be updated to point to the new publish server, and the flush agent URI must be updated to point to the new dispatcher server. These are essential for content activation to work properly in the cloned environment.","Environment cloning: Update replication and flush agent URIs"
Q25,Performance,Practice Question,Hard,"Recently published content is not visible on the search results on the public website. All results show on the author environment, some results show on the publish environment, the LastindexedTime metric is not updated when checking the Async Indexer stats MBean, and the user is trying to find the page by the title. How can the DevOps Engineer gather more information about the root cause of this issue?","Increase the logging level for stderr.log to DEBUG by setting a JVM option","Increase the logging level for stdout.log to DEBUG in the sling log support configuration","Increase the logging level for the health reports in the maintenance UI","Increase the logging level for org.apache.jackrabbit.oak.plugins.index","D","Since the issue is specifically related to indexing (LastindexedTime not updated, reindexing messages in logs), increasing the logging level for org.apache.jackrabbit.oak.plugins.index will provide detailed information about Oak index operations, helping to identify why the indexing process is not working correctly.","Indexing troubleshooting: Enable Oak index logging for detailed diagnostics"
Q26,Maintenance,Practice Question,Medium,"Which type of backup should be performed to reduce the risk of a corrupted index?","Online backup when indexing is disabled","Tape backup when the repository is in read-only mode","Offline backup when AEM is not running","Snapshot backup when the repository is paused","A","Online backup with indexing disabled provides a balance between consistency and availability. By disabling indexing during the backup, you prevent index corruption while still allowing the system to remain operational for users, making it the most practical approach for reducing index corruption risk.","Backup strategy: Disable indexing during online backup to prevent corruption"
Q27,Deployment,Practice Question,Easy,"In what two ways can a DevOps Engineer install a content package?","Store the content package in the crx-quickstart/install folder in the filesystem","Use CRX Package Manager","Upload the package through the OSGi console","Upload the package to /content/dam and start the InstallPackageWorkflow","Store the content package in the crx-quickstart/app folder in the filesystem","A and B","The two valid methods are: 1) Hot folder deployment by placing packages in crx-quickstart/install (automated), and 2) Manual installation through CRX Package Manager UI. The other options are not valid installation methods.","Package installation: Hot folder (crx-quickstart/install) and Package Manager UI"
Q28,Dispatcher,Practice Question,Hard,"New content is not visible on the website when accessing it via the dispatcher. Replication from author to publish works fine, dispatcher flush agent is present under /etc/replication/agents.author on the Publish instance and enabled, the checkbox for Dispatcher flush agent configuration is ticked for enabled when reviewed on the author instance, and rules in the dispatcher configuration are correct. Which problem with the dispatcher flush agent is causing this issue?","It is not configured properly in the dispatcher configuration","It does not have enough permissions to receive the activation","It is configured properly but located in the wrong path","It is configured properly but uses the incorrect transport user","C","The flush agent is located at /etc/replication/agents.author but should be at /etc/replication/agents.author/publish.html. The missing /publish.html suffix prevents the flush agent from functioning properly, resulting in cached content not being invalidated even though replication works correctly.","Dispatcher flush agent: Must be at /etc/replication/agents.author/publish.html"
Q29,Deployment,Practice Question,Medium,"A business needs to remove a publish instance due to a contractual downsizing. Which action will prevent a rapid increase of errors in the author instance?","Configure the dispatcher mapped to the publish instance being removed to display a maintenance page","Delete the replication agent on the author instance mapped to the publish instance being removed","Remove the dispatchers associated with the publish instance being removed","Arrange a content freeze preventing access to the author instance while the publish instance is being removed","B","Deleting the replication agent prevents failed replication attempts that would otherwise cause error logs to rapidly accumulate in the author instance. Without removing the agent, the author would continually try to replicate to a publish instance that no longer exists.","Instance removal: Delete replication agent to prevent error accumulation"
Q30,Security,Practice Question,Easy,"A user is able to access the OSGi console from the outside on a publish instance. Which deny filter rule configured in the dispatcher would properly prevent access to the OSGi console?","/system/*","/system/felix","/felix/console/*","/console/felix","A","The /system/* pattern blocks all system paths including the OSGi console, providing the broadest protection. This is the most restrictive and secure approach, blocking access to all system-level functionality including the Felix console.","Security: /system/* blocks OSGi console access"
Q31,Performance,Practice Question,Medium,"A DevOps Engineer finds that customers are experiencing long response times. It is unclear which responses are slow, the cache hit ratio is low, and many requests are served from the publish instance. What should the DevOps Engineer use to analyze the issue?","riog.jar to analyze request.log","rlog.jar to analyze dispatcher.log","jail.jar to analyze audit.log","jail.jar to analyze access.log","A","riog.jar analyzes request.log files and provides request timing analysis, response time patterns, performance bottlenecks, and cache effectiveness data. This is the most appropriate tool for analyzing long response times and identifying which specific requests are causing slowdowns.","Performance analysis: riog.jar for request.log analysis"
Q32,Deployment,Practice Question,Medium,"A DevOps Engineer must configure a production deployment pipeline. The AEM environment consists of one author instance, two publish instances, and two dispatcher instances. A load balancer and CDN are also leveraged. In combination with load balancing, which step is required to make sure that the site is available during deployment?","Point the CDN to the author instance during the publish instance deployment","Perform the deployment on one publish instance at a time","Disable the replication agents during the deployment","Clear the CDN cache after the author instance deployment","B","Rolling deployment (deploying one publish instance at a time) maintains service availability while load balancer handles traffic distribution. This ensures the site remains available during deployment as traffic routes to the available publish instance while the other is being updated.","Deployment strategy: Rolling deployment maintains availability"
Q33,Deployment,Practice Question,Easy,"When configuring replication agents, under which path of the repository are agents stored for the AEM author instance?","/etc/agents/replication/author","/etc/agents/replication.author","/etc/author/agents/replication","/etc/replication/agents.author","D","The /etc/replication/agents.author path is the standard location for author replication agents and follows AEM naming conventions. The other options use incorrect path structures or component ordering.","Replication agents: /etc/replication/agents.author is the correct path"
Q34,Maintenance,Practice Question,Easy,"What are the two benefits of running the version purge maintenance task? (Choose two.)","Increases the system performance","Cleans up versions that can not be restored","Compacts disk space for unreferenced versions","Reclaims disk space","A and D","Version purge increases system performance by reducing database size and query load, and reclaims disk space by removing old versions. These are the two primary benefits of running version purge maintenance tasks.","Version purge: Improves performance and reclaims disk space"
Q35,Dispatcher,Practice Question,Medium,"On which instance should a flush agent be configured to prevent invalidation timing issues after invalidation?","Publish","Author","Load-balancer","Dispatcher","B","Flush agents should be configured on the Author instance. The correct path is /etc/replication/agents.publish/flush. This ensures proper cache invalidation timing and prevents issues with content updates not being reflected on the dispatcher.","Flush agent: Configure on Author instance at /etc/replication/agents.publish/flush"
Q36,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to add multiple custom domains to identify the environments and sites with unique branded names in a self-service manner via the Cloud Manager UI. What should the DevOps engineer do?","Remove the default domain name after attaching domains to the Publish Service","Assign a wildcard domain name to the Publish Service","Add a domain for each of the sites on the Publish Service","Attach domains to the Sites service on the Production authoring instance","C","Adding a domain for each site on the Publish Service provides precise branding control, clear environment identification, and manageable configuration through Cloud Manager UI. This supports multiple sites with unique branded names as required.","Cloud Service domains: Add individual domains per site for precise control"
Q37,CRX/Oak,Practice Question,Medium,"Why does the size of the repository double when running online compaction?","A temporary working generation is stored on disk but removed afterwards","A cache is created to improve performance of compaction","A backup generation is stored on disk after online compaction","The first generation is only cleaned after running a second online compaction","A","Online compaction requires double space because a temporary working copy is created during compaction while the original repository data remains active. The working copy is deleted once compaction completes, returning space to normal.","Online compaction: Requires temporary working space (double repository size)"
Q38,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to add multiple custom domains to identify the environments and sites with unique branded names in a self-service manner via the Cloud Manager UI. What should the DevOps engineer do?","Remove the default domain name after attaching domains to the Publish Service","Assign a wildcard domain name to the Publish Service","Add a domain for each of the sites on the Publish Service","Attach domains to the Sites service on the Production authoring instance","C","Adding a domain for each site on the Publish Service provides precise branding control, clear environment identification, and manageable configuration through Cloud Manager UI. This supports multiple sites with unique branded names as required.","Cloud Service domains: Add individual domains per site for precise control"
Q39,CRX/Oak,Practice Question,Medium,"Why does the size of the repository double when running online compaction?","A temporary working generation is stored on disk but removed afterwards","A cache is created to improve performance of compaction","A backup generation is stored on disk after online compaction","The first generation is only cleaned after running a second online compaction","A","Online compaction requires double space because a temporary working copy is created during compaction while the original repository data remains active. The working copy is deleted once compaction completes, returning space to normal.","Online compaction: Requires temporary working space (double repository size)"
Q40,Configuration,Practice Question,Medium,"According to Adobe best practices, how should a DevOps Engineer tailor OSGi service configurations depending on the type of environment?","Leverage multiple content packages for each environment","Leverage configuration files in runmode dedicated folder","Provide default configuration in the content package, and apply the differences using the OSGi console","Use environment variables to identify the instance and environment type, then load the appropriate configuration files accordingly","B","Runmode folders provide environment-specific configurations with clear separation, use the standard AEM mechanism, and enable automated deployment. This is the recommended approach for managing different configurations across environments.","Best practice: Use runmode folders for environment-specific OSGi configs"
Q41,OSGi,Practice Question,Hard,"The DevOps Engineer sees many occurrences of org.apache.sling.api.resource.LoginException in the logs. Apache Sling Service User Mapper Service is configured with a default user. Service user mapping is configured for the OSGi bundle, causing the exception. What is the root cause of these exceptions?","Administrative resource resolvers have been disabled by configuration and the bundle deployed still relies on it","The configured service user is not a system user or does not exist","There is no service user mapping configured for the Java class causing the exception","The exceptions relate to failed login attempts with incorrect credentials","B","The configured service user is not a system user or does not exist. This is the most common cause of LoginException when service user mapping is configured but the user doesn't exist or isn't properly configured as a system user.","OSGi troubleshooting: Service user must exist and be configured as system user"
Q42,OSGi,Practice Question,Medium,"A DevOps Engineer receives notifications from the monitoring system about a bundle being stuck in ""installed"" state. A new version of an OSGi bundle was recently deployed. All author and publish instances are affected. Manually starting the bundle does not solve the issue. What prevents the OSGi bundle from being activated?","At least one OSGi bundle marked as a dependency is not available in the instances","At least one OSGi component throws an exception during activation","At least one OSGi component has ConfigurationPolicy set to ""required"" and no configuration is provided","At least one OSGi component reference is unsatisfied","A","Bundle in ""installed"" state specifically indicates dependency resolution failure. The bundle can't move to ""resolved"" state because at least one dependency is missing, preventing it from transitioning to ""active"" state.","OSGi bundle states: Installed state indicates missing dependencies"
Q43,Performance,Practice Question,Medium,"A server has been provisioned with 32GB, 16 cores, and 1TB for use as an author instance to host AEM Assets. Which operation should the DevOps engineer perform before starting AEM?","Set COFILE_SIZE_LIMIT to 1TB","Set CQJVM_OPTS -Xmx to 32gb","Set CQJVM_OPTS -Xmx to 16gb","Set CQJVM_OPTS -XX:MaxPermSize to 16gb","C","For a 32GB server, setting CQJVM_OPTS -Xmx to 16gb follows the best practice of allocating about 50% of available RAM to the JVM heap. This leaves adequate memory for the OS and other processes while providing sufficient heap for AEM Assets workload.","JVM sizing: Use 50% of available RAM for heap (-Xmx16g for 32GB server)"
Q44,Security,Practice Question,Medium,"A form POST functions correctly on publish and dispatch servers but does not function on an author server. The form is a standard form POST with no JavaScript dependency. The developer confirms the same behavior using the ""?wcmmode=disabled"" parameter as well as using browser incognito mode. Which two items should the DevOps engineer research? (Choose two.)","Adobe Granite CSRF Filter","Adobe WCM Debug Filter","Adobe HTML Library Manager","Apache Sling Referrer Filter","Adobe Sling Request Parameter Handling","A and D","Adobe Granite CSRF Filter and Apache Sling Referrer Filter are the two most relevant security filters that could block form POSTs on author instances. CSRF Filter requires tokens for POST requests, and Referrer Filter checks request origins, both being more restrictive on author instances.","Security troubleshooting: CSRF and Referrer filters block form POSTs on author"
Q45,Dispatcher,Practice Question,Easy,"Which transport URI should be used to configure a Flush Agent for a dispatcher listening on localhost port 8000?","http://localhost:8000/dispatcher/invalidate.cache","http://localhost:8000/dispatcher/cache.invalidate","http://localhost:8000/bin/receive","http://localhost:8000/invalidate.cache","A","The correct transport URI for a flush agent is http://localhost:8000/dispatcher/invalidate.cache. This is the standard endpoint that dispatcher uses to receive cache invalidation requests from AEM.","Dispatcher flush agent: Use /dispatcher/invalidate.cache endpoint"
Q46,Dispatcher,Practice Question,Easy,"What supported web server should a DevOps Engineer use when setting up the dispatcher version 4.3.1 in a Unix environment?","IIS 7.5","Apache 2.4","Apache 2.0","Nginx 1.14","B","Apache 2.4 is officially supported for Dispatcher 4.3.1 in Unix environments. IIS is Windows-only, Apache 2.0 is too old, and Nginx is not officially supported for this dispatcher version.","Dispatcher setup: Apache 2.4 is supported for Dispatcher 4.3.1 on Unix"
Q47,Cloud Service,Practice Question,Medium,"A company asks a DevOps engineer to set up a local AEM using the AEM as a Cloud Service SDK's Quickstart Jar. The DevOps engineer needs to test and simulate content distribution between the local Author and Publish services. Which two actions should the DevOps engineer take? (Choose two.)","Configure the Sling Content Distribution via the OSGi Console","Enable the legacy Replication agents","Install the Adobe Pipeline micro service package","Make sure the environments are running on their default ports","B and D","Enable the legacy Replication agents and make sure the environments are running on their default ports. The documentation states that legacy replication agents can be enabled to simulate content distribution between local Author and Publish services during development.","Cloud Service SDK: Enable legacy replication agents for local content distribution simulation"
Q48,Security,Practice Question,Easy,"How can the DevOps Engineer prevent any user from logging in with the default admin credentials during startup of the AEM instance?","Change the default AEM admin password on initial setup","Disable the OSGi web console login bundle by using the production ready runmode","Configure the dispatcher to prevent access to /system/console","Update the default password in the OSGi configuration for the OSGi web console","A","Change the default AEM admin password on initial setup using system property -Dadmin.password.reset=true. This ensures no one can ever log in with the default admin/admin credentials by changing the password before the system becomes accessible.","Security: Change default admin password during initial setup"
Q49,Performance,Practice Question,Medium,"A company is launching a new multinational AEM site. The new site will have a large pool of authors all over the world. The company needs to be sure it can handle the load. The load requirements for the new site are: A daily load scaling from 100 to 1000 authors, Create multiple pages and live copies (including MSM rollouts), Upload multiple images into Assets, Assign 1000 tags to each new pages. What can the DevOps Engineer do to make sure the AEM instance can handle the load?","Use standard Cloud Manager tests","Use Adobe Tough Day 2","Set up a cold standby instance","Set up auto scaling","B","Use Adobe Tough Day 2 to stress test the author environment under heavy load. Tough Day 2 can simulate multiple authors, test MSM operations, asset uploads, and tagging operations concurrently, which matches the requirements for testing heavy author load scenarios.","Performance testing: Use Tough Day 2 for heavy author load testing"
Q50,Performance,Practice Question,Medium,"An end user reports performance issues on the site. The AEM environment uses a CDN and a dispatcher as caching layers. The number of requests on the publish instance has increased significantly. Which metric can be monitored to see trends related to the problem early enough to be able to react?","""Current cache hit ratio"" in the dispatcher.log","Offload metric in the CDN","""Recent requests"" in AEM","Output from the request.log measuring response time","A","The cache hit ratio in dispatcher.log is the best early warning indicator. A decreasing cache hit ratio shows that more requests are bypassing the cache and hitting the publish instance, which precedes performance issues and provides early warning before users experience significant problems.","Performance monitoring: Cache hit ratio as early warning indicator"
Q51,Development,Practice Question,Medium,"The development team asks the DevOps engineer for help to set up Java remote debugging on a local AEM instance to debug an AEM application. The DevOps engineer needs to activate remote debugging on port 8000. Which JVM parameter should the DevOps engineer add to perform this task?","-agentlib:jdwp=transport=dt_socket,address=8000,server=y,suspend=n","-Djava.awt.headless=TRUE -javaagent:local.jar=8000","-Dcom.sun.management.jmxremote.port=8000 -Djava.rmi.server.hostname=localhost","-Ddebug.port=8000","A","The -agentlib:jdwp parameter enables Java Debug Wire Protocol for remote debugging. The correct syntax is -agentlib:jdwp=transport=dt_socket,address=8000,server=y,suspend=n which allows developers to connect their IDE debuggers to step through running code.","Development: Use -agentlib:jdwp for remote debugging setup"
Q52,Configuration,Practice Question,Hard,"An AEM instance is restarted with the command: java -Dsling.run.modes=author -jar cq-publish.jar -r author. The sling.properties includes the line sling.run.modes=publish. In which runmode is AEM started?","Author runmode because the system property sling.run.modes has the highest priority","Publish runmode because the sling.properties file has the highest priority","Author runmode because the -r parameter has the highest priority","Publish runmode because it is determined from the quickstart jar filename","A","System properties (-D) have the highest priority in AEM runmode resolution. The -Dsling.run.modes=author parameter overrides the sling.properties setting, so AEM starts in author mode despite the jar filename and properties file configuration.","Runmode priority: System properties override sling.properties and jar filename"
Q53,Deployment,Practice Question,Medium,"The DevOps Engineer should copy users and groups from an existing environment to another one, except for the ""admin"" user. What first action should be taken to build the users package?","Add an exclude pattern from ""/home/users/admin""","Run the query ""/jcr:root/home/users//element(*,rep:User)[@rep:userName=""admin""]""","Run the query ""/jcr:root/home/users//element(*,rep:User)[@rep:principalName=""admin""]""","Add a filter for ""/home/users/admin""","C","Run the query ""/jcr:root/home/users//element(*,rep:User)[@rep:principalName=""admin""]"" to identify the admin user first. This query uses the correct JCR path and property (@rep:principalName) to find the admin user, which is necessary before configuring package exclusion rules.","User migration: Query to identify admin user before package creation"
Q54,Performance,Practice Question,Easy,"A company needs to support 1500 unique users per day and 300 concurrent users for their author instance. Which persistence storage option should the DevOps Engineer select?","RDBMS","TarMK","MongoMK","S3","B","TarMK is the correct choice for this author instance scenario. It can handle up to 1000 concurrent users and is Adobe's recommended persistence layer for single author instances. The specified load (300 concurrent) is well within TarMK's capabilities.","Persistence layer: TarMK for single author instances up to 1000 concurrent users"
